amount,time_of_day,frequency,device_change,new_recipient,is_fraud
26137.11873627032,11,1,1,0,0
21377.623376909123,17,13,1,0,0
1271.9309180780153,6,11,1,1,1
5395.46345823823,19,8,1,1,0
1572.4278551510258,23,8,0,0,0
31820.884152777755,22,14,1,1,0
15718.484697835258,6,13,1,1,1
25429.025987543973,8,3,0,1,0
45378.41612983072,0,4,1,1,1
12465.362165214598,5,15,1,1,1
20519.735768858453,5,15,1,0,0
37777.80137601389,21,13,1,0,0
11440.679476415631,11,9,0,1,0
3849.918511529821,21,10,0,1,0
14488.282894235488,11,12,1,1,1
8061.903141412967,9,14,0,0,0
46484.95291947631,22,1,0,0,0
40406.21085784128,5,14,0,0,0
31670.554421764664,16,14,0,0,0
43573.158048795696,18,8,1,1,1
40183.80017287882,17,16,0,1,1
9329.316374242906,5,14,1,0,0
44628.0573655004,23,1,1,0,1
26967.572753540622,18,16,0,1,0
40372.200318047966,9,18,1,1,1
44804.668904874736,23,7,0,1,0
15900.855745118222,7,15,1,1,1
5503.48617445931,20,17,1,1,1
11397.530191934542,23,19,0,0,0
21355.96232352419,5,13,1,1,1
40900.92028135873,20,9,0,0,0
43036.66843223391,6,15,1,0,1
348.59957442900395,23,3,1,1,0
25537.854381575708,0,1,0,0,0
20871.1327464358,17,16,0,0,0
11106.168415726042,23,8,0,1,0
5994.148501316807,19,13,1,0,1
16881.420955009995,11,8,0,1,0
47145.54228592205,15,17,0,1,1
16160.82339810574,9,14,0,0,0
25940.01229654656,9,7,0,1,0
35151.2449258,13,15,1,1,1
18182.11648936232,19,16,1,0,0
48589.13235396531,9,19,1,1,1
48122.40229981062,9,6,1,0,0
12589.863008972383,10,1,1,0,0
24862.92804611338,22,12,1,1,1
15044.614612528667,1,18,0,0,0
14242.739878379003,19,16,1,1,1
1845.3104807792852,7,12,0,0,0
30478.607134660862,22,13,0,1,0
25134.448482419844,6,8,0,1,0
2574.8860837482175,7,1,0,0,0
13933.044565366336,0,7,1,0,0
45413.38603244672,20,15,1,1,1
11978.854971457955,1,13,1,1,1
7245.598709689063,17,13,0,0,0
24473.148561117872,14,9,1,1,0
49282.537055075925,0,15,1,1,1
12103.52152030351,4,4,1,0,0
33607.10523474652,1,13,1,0,1
38081.21914682055,19,12,1,1,1
11882.63956207599,2,5,1,0,0
36411.08921424437,18,7,0,0,0
18389.78885282994,17,8,0,1,0
31615.65922384838,21,5,1,0,0
31676.852008333975,17,9,0,0,0
26789.19842905385,13,14,0,1,0
4515.398212950361,23,12,1,0,0
41765.28947696631,7,4,0,1,0
16039.68246852182,11,8,1,0,0
9326.739001482312,20,17,0,0,0
2039.716302596641,9,8,1,1,0
29545.056266468902,22,1,0,0,0
33878.54052775228,19,2,0,0,0
830.3748585638797,16,4,0,0,0
25605.14082190575,10,1,0,0,0
11325.5622641217,1,7,1,0,0
32258.994347682084,3,1,0,0,0
8719.147083820568,0,9,1,1,0
34547.195967385196,14,3,1,0,0
19337.38057968057,12,12,0,0,0
46836.56270684799,7,19,0,1,1
6876.909686355517,3,15,1,1,1
17053.976486161875,9,16,0,1,0
5674.562588508213,18,10,1,0,0
46234.75622030986,17,6,0,1,0
43867.09032969567,4,17,1,1,1
12897.823444130065,18,17,0,0,0
32999.54231766292,22,19,0,1,0
40861.29278786059,21,18,1,0,1
27760.485379161517,15,11,1,0,0
26482.999267221967,0,7,1,0,0
12093.372692731684,11,10,0,0,0
4656.045287527155,23,7,0,0,0
44860.890681908386,1,5,0,1,1
45021.00244010936,20,12,0,0,0
31655.439762206122,7,16,1,1,0
16952.150522643984,17,18,1,0,0
17461.129521058432,15,3,0,1,0
36298.0579878331,4,15,0,0,0
44855.615887368906,21,5,0,0,0
44354.4341268316,12,13,1,0,1
38993.99741733533,18,19,1,1,1
32101.940276068235,2,12,0,1,0
4207.914109787446,7,5,1,1,0
8082.274076016593,11,6,0,0,0
44927.810872165435,1,7,0,0,1
30321.846553919837,10,10,1,1,0
460.84338377986575,11,16,1,0,0
5074.475671758739,17,8,1,1,0
33175.42495363368,12,9,1,0,0
254.07413072708812,4,4,0,1,0
8041.241762823515,21,8,1,1,0
27437.14073453994,11,7,1,0,0
34595.06798943697,1,15,1,1,1
32598.411013870525,4,3,1,0,0
11214.24120371853,6,17,0,0,0
35609.248888155445,23,11,0,0,0
11863.217125752506,11,9,1,1,0
16270.659508265227,15,5,1,1,0
37324.82376449609,22,10,0,1,0
32481.995319461686,7,15,0,0,0
42461.321301298405,8,14,1,0,1
32880.987002124864,14,4,0,1,0
28415.861858170247,4,2,0,0,0
4684.644716636795,12,12,0,0,0
18386.422437168618,4,1,0,1,0
13260.85318171859,10,5,1,1,0
12200.2381793108,9,6,0,0,0
48650.55472706752,19,11,0,0,1
19655.493135613353,12,8,1,1,0
44602.43571230049,8,7,1,1,1
31557.300161237148,20,4,1,0,0
39740.77036577888,13,6,0,0,0
25132.3520181665,17,16,1,0,0
28845.61732743333,14,15,0,1,0
24626.392173249376,9,14,1,0,0
9762.954146914426,23,12,0,0,0
36122.88331096,6,12,1,0,0
14039.337349680349,7,16,1,0,0
1216.7740056062605,2,15,0,0,0
32273.969323062483,14,13,1,0,0
8856.35685967304,15,11,1,1,1
47022.988759061365,3,17,1,1,1
47696.47492155236,20,15,1,1,1
45743.304646632205,5,14,1,0,1
18508.564854071963,0,10,0,1,0
773.8153698268426,3,12,0,0,0
46415.99981082368,10,16,1,0,1
21409.7792317174,11,15,1,0,0
48332.774297364434,4,10,0,0,0
48181.03523448556,22,4,0,0,0
42650.61976391254,20,9,1,1,1
14723.150154587214,15,9,0,1,0
19255.50133236766,12,11,1,1,1
42556.98243917133,12,11,1,0,1
15846.783335808726,16,7,1,1,0
8475.467841557938,6,10,1,0,0
27840.506321655048,7,4,0,1,0
46807.80255326489,12,5,0,1,0
34801.79380395197,22,5,0,1,0
28503.48844329816,15,11,1,1,1
4859.727512044656,3,9,0,1,0
30750.746327731787,7,16,1,1,1
49502.70245136306,15,9,1,0,1
7005.060677810965,20,4,0,0,0
25916.964288534473,9,2,1,0,0
43868.77622332585,11,14,1,0,1
37038.69011909247,11,3,1,0,0
34851.0900340224,4,18,0,1,1
35124.50171527148,15,6,1,0,0
17975.198069836537,0,11,0,0,0
14680.298621380403,8,18,1,0,0
40468.248412770205,11,12,0,0,1
40505.859620564355,4,5,1,0,1
43353.7488566866,21,9,0,0,0
45662.11438727101,19,18,0,0,0
25567.60860064803,21,19,1,0,0
25076.313218065294,23,3,1,0,0
39914.96065315979,2,9,1,1,1
32498.54657495748,4,4,1,0,0
35098.64189600791,1,17,0,0,0
39789.83767913561,13,17,1,1,1
44500.3770855365,1,2,0,1,0
16900.41984741994,12,9,1,0,0
18779.77204904456,6,9,0,0,0
4700.003010103609,9,5,0,0,0
28914.428769667702,12,15,0,1,0
1798.0777475633076,15,15,1,0,0
23280.435308604876,13,3,1,1,0
27132.689090744123,10,19,0,1,0
14327.776065162092,9,3,0,1,0
29542.07219518997,5,6,0,1,0
1525.9819967025323,3,4,0,1,0
1868.3720892719716,20,13,0,0,0
41130.205432422255,0,13,1,0,1
18010.171879921734,6,11,0,1,0
6353.898572081587,23,5,1,1,0
26112.640759480164,8,1,1,1,0
38499.907661377445,7,9,1,1,0
10791.835553814662,4,17,0,0,0
31144.900900474193,18,1,0,1,0
4268.2879022234065,9,3,0,1,0
2585.0343767092163,10,15,0,0,0
26568.20022377583,14,10,1,0,0
27032.215445383717,5,8,1,0,0
31871.85764500883,14,12,1,0,0
36304.84059479935,4,15,0,1,1
48792.628121047266,18,9,0,1,0
25815.501114711464,21,10,0,1,0
16148.500690589357,18,9,0,1,0
39759.51455224041,9,15,0,1,0
13542.34173085245,11,1,0,1,0
21949.1320638611,21,2,1,1,0
3923.7406107319557,3,19,1,1,1
1268.51182002946,17,14,0,1,0
48132.45808548157,15,8,1,0,0
41799.17004548978,7,6,1,1,1
34799.01433047881,3,12,1,0,0
20448.23826776908,22,15,1,0,0
8665.542709222218,11,14,0,0,0
7822.6956965116315,1,1,1,0,0
12512.894665331602,3,11,0,1,0
27461.784008641316,4,3,0,0,0
35730.08153908042,2,19,1,0,1
33010.208638509845,8,18,0,1,0
13997.414913400196,20,2,1,0,0
47743.309167879044,17,7,0,1,0
36895.10793787173,10,8,0,1,0
27718.148271517523,2,19,1,1,1
30586.42559097138,22,15,1,1,1
20980.58352132707,1,10,0,0,0
12387.301744068372,8,1,1,1,0
17799.277959884428,13,6,0,0,0
37892.54767710799,3,13,1,0,0
720.6600379991637,8,14,0,1,0
5804.515952705305,12,3,0,0,0
2301.086098445616,17,11,0,1,0
2037.3993871461878,14,3,0,0,0
42773.17373996635,9,19,0,0,0
35183.1893111418,15,10,1,0,0
23709.217280537174,11,15,0,0,0
4892.610198389423,19,11,1,1,1
24581.3021399665,4,15,1,1,1
23674.115067257502,1,13,0,0,0
8660.920293630848,9,5,0,0,0
21693.148610249413,0,4,1,0,0
19925.838215134274,6,13,0,0,0
30792.88905251277,16,9,0,1,0
31755.047449731323,15,17,1,0,1
2266.1551845924537,23,2,1,0,0
18731.256118708934,2,5,1,0,1
31293.369925796105,13,16,1,1,1
25157.309792745804,9,7,1,0,0
42824.63556957492,21,1,1,1,1
32935.02288731563,6,12,0,1,0
8147.558419644403,16,11,1,0,0
3529.366801274092,5,12,1,0,0
32121.321491037575,22,19,0,0,0
1326.539015770549,21,12,0,1,0
29289.19328809189,3,12,0,1,1
47011.57184100645,16,14,0,0,1
28774.13341961607,8,2,0,1,0
19409.10814039989,3,2,0,0,0
32164.767633899217,6,4,1,0,0
22913.18627168534,22,16,0,0,0
27281.29384900743,1,10,0,0,0
47073.29897401748,16,13,0,0,1
19305.745787400912,23,2,0,0,0
48059.56700063188,7,3,1,1,1
45267.62674716123,22,19,0,1,1
9790.360948330033,14,6,0,1,0
3468.9956824573974,14,19,1,0,0
5039.799290869955,7,19,1,0,0
912.0730607518349,15,8,1,0,0
4723.053594835664,18,14,0,1,0
34150.655664044425,10,10,1,0,0
3560.3612343629893,1,3,1,1,0
15949.462539057771,22,6,1,0,0
42243.92067316176,23,15,0,1,1
1164.5735148555575,16,18,0,0,0
40723.6096609642,15,14,1,0,1
14093.456883895224,14,19,0,1,0
5909.123216255191,12,10,0,1,0
34837.16153104217,14,15,0,1,0
31447.51339614742,3,4,0,0,0
43873.72320433912,15,2,0,1,0
36753.81711915049,11,3,1,1,0
40174.243038312045,3,7,1,0,1
14102.446593992752,2,16,1,0,1
8872.799749442362,21,10,1,1,0
37530.986967291276,16,19,0,0,0
40341.930128623935,21,17,1,1,1
49525.26659489166,17,19,1,1,1
20631.471227894413,17,5,0,1,0
18601.532271553366,22,13,0,0,0
38820.8716241391,16,13,0,1,0
17040.83620911064,11,11,0,1,0
46537.93552285263,22,11,1,0,1
42920.77917939875,20,16,0,1,1
21450.272374723543,23,15,0,1,1
37543.80251850708,3,17,0,1,0
37727.389161360035,11,18,0,0,0
5157.090317927795,22,19,0,1,0
45127.742781071654,21,4,0,0,0
25263.11337002041,20,5,1,0,0
41323.046847920974,19,7,1,1,1
16003.160001929557,14,2,1,1,0
44776.26590158153,22,1,0,0,0
19460.69473502942,15,12,0,1,0
542.8717363634377,4,10,1,1,1
45269.19343898676,20,8,1,0,1
4565.242552629892,14,1,1,1,0
15966.362565883153,16,12,1,1,0
47503.1482905732,17,2,0,0,0
47530.40673973087,4,10,1,1,1
28672.32096827618,12,17,0,0,0
31592.228771277794,18,3,0,0,0
22422.82765339401,12,7,0,1,0
14661.24537413153,17,12,1,0,0
16433.898603950427,13,8,1,1,0
33626.25028539584,3,12,1,1,1
37618.97409735456,3,3,0,0,0
39579.1606072487,19,17,0,0,0
39481.1175215849,19,9,1,0,0
4561.21394633147,18,10,0,0,0
24721.52081482437,12,6,1,0,0
2878.8804420721976,11,1,0,0,0
27476.894587304454,6,12,0,1,0
22077.083538167477,11,5,0,1,0
44385.32143373223,20,13,0,0,0
17546.39971259138,3,15,0,1,0
5854.233754363866,1,11,0,0,0
7150.44111095974,1,8,0,0,0
38075.7700752419,4,5,1,1,0
30911.284947749737,22,2,0,1,0
5057.03268346339,9,12,0,0,0
4206.256198943756,9,2,1,0,0
35048.75560382454,8,16,1,0,0
3639.0775552033124,12,3,1,1,0
41093.18110445852,6,10,1,0,0
35312.405115597656,4,19,0,0,0
4068.3576833143466,9,8,0,1,0
4242.800866545511,9,7,1,1,0
49331.99228548027,5,1,0,1,0
18714.16551701026,18,12,1,0,0
18532.736711197478,20,5,0,0,0
40640.16556330787,7,16,0,1,1
47362.48162061555,0,4,0,0,0
49300.067190079724,16,17,0,0,1
37669.15588476182,6,2,0,1,0
18813.603016960256,13,12,1,1,0
4175.9523342167395,20,1,0,0,0
38857.56864945591,20,12,0,1,0
27920.654082540517,16,12,0,1,0
21211.676240339566,8,12,0,0,0
45317.8129003517,16,19,0,0,1
5560.762917825261,4,17,1,0,1
24631.762589438666,19,11,0,0,0
568.670884726186,7,13,1,0,1
23433.56343906432,5,8,0,0,0
2816.1074808161857,10,10,0,1,0
5941.776995487328,18,8,1,1,0
5877.194812608467,3,8,0,1,0
32460.86589550106,17,9,0,0,0
37302.4979183919,0,7,1,0,0
29168.854886092886,12,14,0,0,0
48108.66525117862,13,2,1,0,0
18744.154105605678,23,11,1,0,1
14286.318602006755,0,8,1,1,1
43430.08781034483,10,13,0,0,1
11180.568330134112,16,15,0,1,0
48161.16374949113,3,3,1,0,1
608.7115800161273,11,14,0,1,0
48493.97145655524,9,15,1,1,1
2158.952437616855,5,2,0,1,0
44557.26454178985,0,19,1,1,1
26385.527753205908,6,12,0,1,0
49648.2468411689,20,4,1,1,1
3690.7544402052076,15,3,0,1,0
27693.160365781638,23,5,1,0,0
48465.15747841933,13,3,0,0,0
26155.369110663272,22,15,1,1,0
31470.30250812499,19,19,0,0,0
34787.73870054187,19,2,0,0,0
22727.598697323894,5,12,1,1,1
31378.276446123087,21,5,0,0,0
29216.13128184309,4,17,0,1,0
45057.999366538956,23,14,0,0,1
2273.273570692552,20,10,0,1,0
14048.878516421924,17,3,1,0,0
47520.62379234386,14,4,0,1,0
44513.29893076193,5,6,0,0,0
22783.38198253286,18,16,1,0,0
31007.009757479034,0,7,0,0,0
13869.781767873652,0,15,1,1,1
9406.869865028342,12,11,0,1,0
23185.456548594168,2,1,1,0,0
17668.258049074615,9,5,0,0,0
29183.221936431753,20,13,1,1,1
3887.654113612277,2,14,1,0,1
48719.76598850066,8,9,1,0,0
49310.551013235665,7,17,0,1,1
34908.38753927324,2,15,1,1,1
26805.282220839676,12,7,0,0,0
15477.0712867001,5,12,1,1,0
40689.93719032773,12,6,1,0,0
34236.87389652141,22,16,1,0,0
8131.68435030522,19,5,0,1,0
45546.44829750763,19,9,0,0,0
41127.039608915526,11,14,1,1,1
47490.04586468291,12,8,1,1,1
36286.24969990961,1,14,1,0,0
30671.146381593557,20,12,1,1,1
20912.733571494653,23,10,1,0,0
46636.49143921731,22,13,1,1,1
43303.32841113092,15,19,1,0,1
2261.888286639364,22,15,1,1,1
1319.322357888103,5,8,0,0,0
18823.791880535602,18,10,1,0,0
40527.85598576086,20,3,0,1,0
49363.819189617905,12,3,1,0,1
7521.694138285306,16,5,0,0,0
29706.941636891403,22,16,0,0,0
19045.161940694445,8,17,1,0,0
48495.74997633234,16,6,0,0,0
42106.1040378623,1,16,0,0,1
41916.59690685218,18,2,1,1,1
23435.18929658872,18,15,1,1,1
20741.560297380922,23,18,1,1,1
13671.08018946338,6,1,0,1,0
2819.7184570497047,21,19,1,0,0
43236.25409037641,9,12,0,0,1
40645.23755549475,9,8,1,1,1
49985.88394663324,19,6,1,0,0
49831.84521685819,8,12,0,1,1
27772.02984842577,16,7,0,0,0
38449.601771610345,14,18,0,0,0
47238.34172839152,1,14,1,1,1
42482.519886479895,3,8,1,0,0
12368.157739058139,18,14,1,1,1
22527.756221369367,16,5,0,1,0
6458.841598159597,4,9,0,1,0
47702.59731190886,6,8,0,0,0
30309.125547909553,17,2,0,0,0
11432.911632367632,20,16,1,1,1
33585.36251960843,21,13,0,0,0
30906.793894654333,6,7,0,1,0
17908.777738923993,16,16,1,1,1
5678.766052389251,6,7,1,0,0
33578.98820644439,3,14,0,1,0
26015.864737488762,7,14,0,0,0
38616.14726839023,12,12,0,0,0
26008.65489209856,3,1,0,0,0
42609.222834426684,5,1,0,1,0
27595.790031885503,4,12,0,1,0
28047.337638797777,11,15,1,0,0
43832.80347931459,3,4,1,0,1
20174.73982775364,23,7,1,1,0
6701.627407303586,8,16,1,0,0
1440.1050329906352,3,3,0,0,0
37757.10764642528,18,7,0,1,0
31015.85725812188,23,6,0,1,0
35204.28432519308,13,16,0,1,0
10648.995111284028,4,8,1,0,0
6819.437407862902,17,6,0,1,0
728.2187387284285,9,10,0,1,0
17530.02735277104,18,16,0,1,0
29496.294425044798,11,11,0,1,0
19612.810010941517,17,13,1,1,1
21874.30862626443,16,6,0,1,0
45208.03056599293,23,1,1,1,1
17413.425095697996,10,19,0,0,0
25699.96046850138,2,12,0,1,1
39182.86698404441,22,6,0,0,0
19827.742573281186,16,18,1,0,0
31104.712924693446,0,13,0,1,0
43118.32307362851,14,7,0,0,0
47476.081662258446,8,13,0,1,1
7354.526972970968,14,8,1,0,0
46329.45467044956,23,17,1,1,1
24606.32253768383,2,9,0,0,0
12912.961170559618,21,13,1,1,0
22957.328676156827,18,2,0,1,0
49001.648731698566,12,4,0,0,0
24631.412081549486,11,2,1,0,0
16438.25176276512,19,4,0,1,0
31670.40931498197,0,18,0,0,0
12008.040793290875,20,5,1,1,0
3794.0905421050875,16,19,1,0,0
6444.857215810551,12,10,1,1,0
6403.163902049664,0,18,1,0,1
7595.982772921206,9,10,0,1,0
6942.219805297857,14,5,0,0,0
32044.096365415928,6,17,0,1,0
9094.822339872842,21,13,0,0,0
17284.018498909838,17,17,0,1,0
44839.523706890686,15,9,0,0,0
23698.608051503354,13,12,0,0,0
33378.219368312835,17,14,0,1,0
8616.82124021029,6,14,1,0,0
9615.25865141473,16,8,0,0,0
2044.3899447076767,17,5,0,1,0
8447.584218545155,11,19,0,1,0
13930.238361258898,7,14,0,1,0
8851.347203353063,21,9,0,1,0
4436.037985319023,1,7,1,0,0
6032.67291915894,6,8,1,0,0
23039.477622868257,3,14,1,0,1
10317.47958657122,17,14,0,1,0
18214.128782542724,5,11,0,0,0
25171.36012547199,8,14,0,0,0
34520.051036639634,8,8,0,1,0
1966.5676799151058,13,3,1,0,0
39970.720535053224,7,18,1,0,0
31395.391574155896,18,3,0,1,0
4088.8698384116465,2,13,0,0,0
43679.057626714755,17,12,1,1,1
46043.69915419013,4,15,1,1,1
3054.8369147833328,13,18,1,0,0
13844.605529712038,3,5,1,0,0
40310.257788373274,6,7,1,0,0
37413.236259492536,19,11,1,1,1
9226.86644679951,11,11,1,1,1
10468.256817512178,1,15,0,0,0
18524.23466746631,10,10,0,0,0
24226.664736565876,13,15,1,1,1
30913.120321743267,21,13,0,0,0
18446.31306484905,22,14,1,0,0
23127.27327194126,15,17,0,1,0
37373.799435749694,19,13,1,0,0
1835.1234613270044,5,10,0,0,0
12622.594780256693,22,1,1,0,0
35667.76594464174,3,1,0,0,0
44760.44667752228,14,15,0,1,1
25584.36042834119,23,16,1,1,1
26606.142149780517,0,12,1,1,1
5359.493394977463,6,6,1,1,0
22371.17092880591,11,6,0,0,0
26631.330705484703,9,12,0,0,0
12124.282711232849,4,15,0,0,0
13462.8923042381,11,4,0,0,0
18864.83087106803,17,4,1,1,0
1004.5398176885407,9,2,1,0,0
16104.63619999333,5,12,0,0,0
10573.188901820236,11,7,1,1,0
16375.540111543554,6,9,1,1,0
5988.986828830742,17,9,1,1,0
44526.47350971401,1,8,1,0,1
29680.02908524888,9,14,0,1,0
33955.43685490533,14,1,1,0,0
39458.772759128304,11,12,1,0,0
24922.611504253935,16,2,1,1,0
4346.927484083097,3,13,0,1,1
26855.78998438557,6,4,1,1,0
29342.469059925934,8,18,0,0,0
37272.228269742314,18,19,0,0,0
21583.54565193774,22,16,1,0,0
6379.887559475393,6,14,1,1,1
14189.511514030424,22,8,0,0,0
18154.751737635357,1,12,0,0,0
32296.21614933873,5,9,0,0,0
28539.344455140927,17,6,0,0,0
17805.480198166413,5,18,1,1,1
49325.77592440019,12,2,0,0,0
30289.135193025002,18,8,1,1,0
11862.102360007988,1,14,1,1,1
5090.021848547567,11,6,0,0,0
7643.804100077417,14,10,1,0,0
12298.640461497022,13,8,0,1,0
8034.907981604524,5,17,0,0,0
9329.164635541238,17,12,0,1,0
14255.473339523662,4,17,1,0,1
8669.506391142446,17,13,1,0,0
44838.37446589663,2,19,0,1,1
4012.6070493364487,2,12,1,0,1
26226.04496712316,21,16,1,1,1
20520.430952656086,21,5,1,1,0
49118.94846681341,9,16,1,0,1
5602.833069500449,18,6,1,1,0
19893.382096688038,2,11,0,0,0
48473.55219333517,11,17,1,0,1
43275.49078757312,15,14,1,0,1
40853.78647539305,16,6,0,1,0
12895.883449419947,6,11,1,0,0
8545.2084819159,12,12,1,0,0
33432.492353001624,23,13,1,1,1
46468.87008039016,1,4,0,1,1
27838.587887803475,3,7,1,1,0
28581.062860805523,9,2,1,1,0
13999.674703920547,6,6,0,0,0
38474.87716666365,23,6,0,0,0
9353.00038412761,16,18,1,0,0
16184.63814097578,19,8,0,0,0
21272.39649438222,5,8,0,1,0
25381.011323844068,18,8,0,1,0
12121.244211021596,4,8,1,0,0
5742.726400135438,9,1,1,1,0
30531.391502039187,8,2,0,1,0
14432.239031459549,12,12,0,1,0
29062.329832909192,18,15,0,1,0
7718.981400994841,20,4,0,1,0
24057.523952639018,23,3,1,0,0
26629.939038146742,5,14,0,0,0
2592.125017584523,3,8,1,1,0
16830.877305417835,23,13,0,1,1
6721.599432271773,2,19,1,0,1
3169.6851486679143,2,5,1,0,0
49498.02165926487,3,13,0,1,1
16118.369894891173,4,1,1,1,0
40493.91241828589,7,16,1,1,1
12732.778097533428,15,2,1,0,0
34075.45460847424,21,7,0,1,0
38011.63276662444,2,6,1,1,1
29782.341391651607,23,5,1,1,1
23579.337851319367,11,4,0,1,0
20592.63386644928,7,2,0,1,0
17444.064458883222,12,10,1,1,0
46476.52768324704,3,5,1,1,1
41531.13976997867,13,18,0,1,1
48251.380506414964,13,10,0,0,0
6215.7368770537505,12,15,1,0,1
36543.64289270701,5,9,1,0,0
46917.08450059507,16,11,0,1,1
9062.472075216841,3,17,0,0,0
3325.746872071508,7,9,1,0,0
37056.29134385366,16,16,1,0,0
28724.081185882416,2,6,0,0,0
42091.59700913684,16,11,1,0,1
6989.479058937848,8,17,1,1,1
39763.57032568265,1,4,1,0,0
10082.16437506718,12,15,1,1,1
8183.633487342359,19,1,0,1,0
8214.125630751716,1,1,0,0,0
40728.921436848876,19,9,1,1,1
33260.19583758931,10,12,1,0,0
26153.748173031196,21,4,1,1,0
17942.165375691002,14,13,1,1,1
43860.1498401146,10,7,0,0,0
19622.862926024347,22,8,1,1,0
40830.15537413938,2,13,1,1,1
21957.306293602353,2,11,0,1,0
18847.844526815956,11,9,0,1,0
23134.526603694652,23,16,1,1,1
15069.59233033294,4,10,0,1,0
37380.72139943238,19,11,0,1,0
25136.516784233867,6,12,1,1,1
11611.402544645718,6,14,1,0,0
44978.82908915515,12,19,0,1,1
19195.177177439196,8,12,1,0,0
27178.099502838315,20,18,0,0,0
45323.69907611638,12,17,0,1,1
31212.27555770369,11,3,0,1,0
5845.785137377495,12,1,1,0,0
46991.66634855014,23,19,1,0,1
31385.77494551782,9,4,0,0,0
16745.945827239648,0,16,0,1,0
6964.4643610967,7,12,1,1,1
39701.465438325526,21,13,0,1,0
31004.01772366975,15,17,0,0,0
26673.5211377241,12,8,1,1,0
44694.73525996483,2,13,1,1,1
39430.07196401531,2,5,1,1,0
7584.592311757826,23,18,1,1,1
15586.791667709616,4,15,0,0,0
12425.208501583473,10,12,1,1,1
37197.57068234128,6,17,1,1,0
1677.5882043542333,20,15,0,0,0
28494.914353880955,23,2,0,1,0
38123.171828348786,9,6,0,0,0
43838.40507245071,9,17,1,0,1
17104.745354046656,19,16,0,1,0
41063.04397629597,1,17,1,0,1
5532.476216023406,2,9,0,1,0
42322.768134434176,7,5,1,0,0
